iter	Passed	Remaining
0	48	48695
1	50	25094
2	52	17290
3	53	13353
4	55	10980
5	56	9392
6	58	8255
7	59	7383
8	60	6657
9	61	6108
10	63	5665
11	64	5280
12	65	4950
13	66	4667
14	67	4426
15	68	4209
16	69	4020
17	70	3850
18	71	3703
19	72	3564
20	73	3439
21	74	3331
22	76	3233
23	77	3132
24	78	3045
25	79	2969
26	80	2893
27	81	2820
28	82	2756
29	83	2694
30	84	2633
31	85	2582
32	86	2537
33	87	2492
34	88	2448
35	89	2405
36	90	2364
37	91	2322
38	92	2287
39	93	2252
40	95	2222
41	96	2190
42	97	2160
43	98	2131
44	99	2105
45	100	2080
46	101	2055
47	102	2028
48	103	2003
49	104	1982
50	105	1960
51	106	1939
52	107	1920
53	108	1900
54	109	1883
55	110	1867
56	111	1851
57	113	1835
58	114	1818
59	115	1802
60	116	1787
61	117	1771
62	118	1762
63	119	1747
64	120	1733
65	121	1718
66	122	1704
67	122	1685
68	123	1671
69	124	1659
70	125	1647
71	126	1634
72	127	1623
73	128	1612
74	129	1602
75	130	1590
76	131	1579
77	132	1569
78	133	1560
79	135	1553
80	136	1543
81	137	1535
82	138	1525
83	139	1517
84	139	1505
85	141	1500
86	141	1488
87	142	1479
88	143	1471
89	144	1462
90	145	1453
91	146	1447
92	147	1440
93	148	1433
94	149	1427
95	150	1421
96	151	1413
97	152	1407
98	154	1402
99	155	1396
100	156	1390
101	156	1379
102	157	1373
103	158	1369
104	159	1363
105	161	1358
106	162	1352
107	163	1347
108	164	1341
109	165	1336
110	166	1331
111	167	1325
112	168	1320
113	169	1315
114	170	1310
115	171	1303
116	172	1298
117	173	1293
118	173	1287
119	174	1281
120	175	1276
121	176	1270
122	177	1262
123	178	1259
124	179	1255
125	180	1250
126	181	1245
127	181	1238
128	182	1234
129	183	1229
130	184	1224
131	185	1219
132	186	1215
133	187	1210
134	188	1206
135	189	1202
136	190	1197
137	190	1191
138	191	1187
139	192	1184
140	193	1180
141	194	1176
142	195	1172
143	196	1168
144	197	1165
145	198	1161
146	199	1158
147	200	1154
148	201	1151
149	202	1148
150	203	1144
151	204	1141
152	205	1138
153	206	1135
154	207	1131
155	208	1128
156	209	1125
157	210	1122
158	211	1119
159	212	1116
160	213	1113
161	214	1110
162	215	1107
163	216	1104
164	217	1101
165	218	1098
166	219	1095
167	220	1093
168	222	1091
169	223	1088
170	223	1085
171	225	1083
172	226	1081
173	227	1078
174	228	1074
175	229	1072
176	230	1070
177	231	1067
178	232	1065
179	233	1062
180	233	1057
181	234	1055
182	235	1052
183	236	1050
184	237	1047
185	238	1044
186	239	1042
187	240	1040
188	241	1037
189	242	1035
190	243	1033
191	244	1030
192	245	1028
193	247	1026
194	248	1024
195	249	1021
196	249	1018
197	250	1016
198	251	1013
199	252	1011
200	253	1008
201	254	1005
202	255	1004
203	256	1001
204	257	999
205	258	997
206	259	995
207	260	993
208	261	991
209	262	988
210	264	987
211	264	984
212	265	981
213	266	979
214	267	977
215	268	975
216	269	973
217	270	971
218	271	969
219	272	966
220	273	965
221	274	963
222	276	961
223	276	959
224	277	957
225	278	955
226	280	953
227	280	950
228	281	948
229	282	947
230	284	945
231	285	943
232	286	942
233	287	939
234	288	937
235	288	935
236	289	933
237	290	931
238	291	928
239	292	926
240	293	924
241	294	923
242	295	921
243	296	918
244	297	916
245	298	915
246	299	914
247	300	911
248	301	909
249	302	908
250	303	906
251	304	904
252	305	902
253	306	901
254	307	899
255	308	897
256	309	895
257	310	893
258	311	891
259	312	889
260	313	887
261	314	885
262	315	884
263	316	882
264	317	880
265	318	878
266	319	877
267	320	875
268	321	873
269	322	872
270	323	870
271	324	868
272	325	866
273	326	864
274	327	863
275	328	862
276	329	860
277	330	858
278	331	857
279	332	855
280	333	854
281	334	852
282	335	851
283	337	849
284	337	847
285	338	845
286	339	843
287	340	841
288	341	840
289	342	839
290	343	837
291	344	836
292	345	834
293	346	833
294	347	831
295	348	829
296	349	828
297	351	826
298	352	825
299	352	823
300	354	822
301	354	820
302	356	819
303	356	817
304	357	815
305	358	813
306	360	812
307	361	811
308	362	810
309	363	808
